sln,car_brand,car_model,car_country,car_city,car_fuel,car_transmission,car_drive,car_mileage,car_engine_hp,car_engine_capacity,car_age,car_price
8126,Lada,2110,RUS,Astrakhan,gasoline,manual,FWD,310000,78,1.5,23,170000
8127,Honda,Civic    ,JP,Yekaterinburg,gasoline,automatic,FWD,175000,140,1.8,16,1025000
8128,Chery,Tiggo T11   ,CN,Yekaterinburg,gasoline,manual,FWD,182000,119,1.6,12,569000
8129,Kia,Soul    ,KR,Yekaterinburg,gasoline,automatic,FWD,75541,204,1.6,8,1699000
8130,Geely,Emgrand EC7   ,CN,Yekaterinburg,gasoline,manual,FWD,164500,129,1.8,8,930000
8131,Toyota,RAV4    ,JP,Yekaterinburg,gasoline,manual,4WD,303000,150,2,22,450000
8132,BMW,5-Series    ,DE,Yekaterinburg,gasoline,automatic,4WD,212000,306,3,9,2990000
8133,SsangYong,Kyron    ,KR ,Yekaterinburg,diesel,automatic,4WD,165523,141,2,17,670000
8134,Toyota,Yaris    ,JP,Yekaterinburg,gasoline,robot,FWD,242000,87,1.3,18,600000
8135,Chevrolet,Cruze    ,USA,Yekaterinburg,gasoline,manual,FWD,130000,141,1.8,11,758000
8136,Toyota,Succeed    ,JP,Yekaterinburg,gasoline,CVT,FWD,165000,109,1.5,7,1140000
8137,Kia,K5    ,KR,Yekaterinburg,hybrid,automatic,FWD,116000,152,2,4,2420000
8138,Volkswagen,Tiguan    ,DE,Yekaterinburg,gasoline,automatic,4WD,162000,170,2,10,1499000
8139,Kia,Cerato    ,KR,Yekaterinburg,gasoline,manual,FWD,173000,130,1.6,8,974000
8140,Volkswagen,Polo    ,DE,Yekaterinburg,gasoline,manual,FWD,246000,105,1.6,11,765000
8141,Mercedes-Benz,GLS-Class    ,DE,Yekaterinburg,gasoline,automatic,4WD,122470,333,3,8,6200000
8142,Toyota,Esquire    ,JP,Yekaterinburg,hybrid,CVT,FWD,148400,99,1.8,10,2050000
8143,BMW,X7    ,DE,Yekaterinburg,gasoline,automatic,4WD,15000,530,4.4,3,13500000
8144,Hyundai,Accent    ,KR,Yekaterinburg,gasoline,manual,FWD,213000,102,1.5,17,349000
8145,Honda,Freed Spike   ,JP,Yekaterinburg,gasoline,automatic,FWD,122000,88,1.5,12,1265000
8146,Lada,2110,RUS,Astrakhan,gasoline,manual,FWD,150000,78,1.5,21,200000
8147,Kia,Rio    ,KR,Yekaterinburg,gasoline,manual,FWD,109000,123,1.6,7,1299000
8148,Lada,2110,RUS,Astrakhan,gasoline,manual,FWD,150000,91,1.5,20,150000
8149,Hyundai,Santa Fe   ,KR,Yekaterinburg,gasoline,automatic,4WD,50,180,2.5,1,5170000
8150,Kia,Sportage    ,KR,Yekaterinburg,gasoline,automatic,4WD,50,190,2.5,1,4600000
